DATA_VENDA;COD_VENDA;COD_PRODUTO;COD_VENDEDOR
01/01/2022;AF0115;7;l3
01/01/2022;AF0116;9;l5
01/01/2022;AF0117;3;l3
01/01/2022;AF0118;2;l3
01/01/2022;AF0119;3;l1
01/01/2022;AF0120;9;l4
01/01/2022;AF0121;4;l3
01/01/2022;AF0122;5;l2
01/01/2022;AF0123;7;l2
01/01/2022;AF0124;2;l5
01/01/2022;AF0125;5;l4
01/01/2022;AF0126;3;l4
01/01/2022;AF0127;4;l1
01/01/2022;AF0128;5;l4
01/01/2022;AF0129;6;l3
01/01/2022;AF0130;1;l3
02/01/2022;AF0131;3;l3
02/01/2022;AF0132;1;l2
02/01/2022;AF0133;6;l1
02/01/2022;AF0134;3;l5
02/01/2022;AF0135;9;l3
02/01/2022;AF0136;2;l1
02/01/2022;AF0137;3;l1
02/01/2022;AF0138;9;l4
02/01/2022;AF0139;4;l1
02/01/2022;AF0140;3;l3
02/01/2022;AF0141;4;l3
02/01/2022;AF0142;9;l2
02/01/2022;AF0143;3;l4
02/01/2022;AF0144;6;l1
02/01/2022;AF0145;3;l3
02/01/2022;AF0146;9;l4
02/01/2022;AF0147;4;l4
02/01/2022;AF0148;2;l4
02/01/2022;AF0149;3;l2
02/01/2022;AF0150;3;l2
02/01/2022;AF0151;1;l1
02/01/2022;AF0152;2;l1
02/01/2022;AF0153;3;l1
02/01/2022;AF0154;7;l5
02/01/2022;AF0155;5;l1
02/01/2022;AF0156;2;l2
02/01/2022;AF0157;3;l1
02/01/2022;AF0158;1;l5
02/01/2022;AF0159;2;l3
02/01/2022;AF0160;2;l4
02/01/2022;AF0161;2;l1
02/01/2022;AF0162;1;l1
02/01/2022;AF0163;1;l2
02/01/2022;AF0164;2;l2
02/01/2022;AF0165;6;l3
02/01/2022;AF0166;9;l2
02/01/2022;AF0167;7;l2
02/01/2022;AF0168;2;l2
02/01/2022;AF0169;3;l1
02/01/2022;AF0170;4;l2
02/01/2022;AF0171;4;l2
02/01/2022;AF0172;9;l5
02/01/2022;AF0173;5;l3
02/01/2022;AF0174;4;l2
02/01/2022;AF0175;3;l3
02/01/2022;AF0176;4;l2
02/01/2022;AF0177;2;l1
02/01/2022;AF0178;2;l1
02/01/2022;AF0179;6;l3
02/01/2022;AF0180;7;l4
02/01/2022;AF0181;3;l3
02/01/2022;AF0182;5;l2
02/01/2022;AF0183;2;l3
02/01/2022;AF0184;1;l1
02/01/2022;AF0185;5;l5
02/01/2022;AF0186;9;l3
02/01/2022;AF0187;2;l3
02/01/2022;AF0188;7;l3
02/01/2022;AF0189;2;l4
02/01/2022;AF0190;5;l3
02/01/2022;AF0191;3;l5
02/01/2022;AF0192;2;l3
02/01/2022;AF0193;9;l4
02/01/2022;AF0194;2;l1
02/01/2022;AF0195;4;l4
02/01/2022;AF0196;7;l3
02/01/2022;AF0197;2;l4
02/01/2022;AF0198;3;l2
02/01/2022;AF0199;5;l2
02/01/2022;AF0200;3;l4
02/01/2022;AF0201;5;l1
02/01/2022;AF0202;9;l4
02/01/2022;AF0203;3;l3
02/01/2022;AF0204;2;l4
02/01/2022;AF0205;4;l3
02/01/2022;AF0206;2;l4
02/01/2022;AF0207;3;l3
02/01/2022;AF0208;1;l1
02/01/2022;AF0209;1;l3
02/01/2022;AF0210;2;l3
02/01/2022;AF0211;3;l2
02/01/2022;AF0212;7;l1
02/01/2022;AF0213;2;l5
02/01/2022;AF0214;9;l5
02/01/2022;AF0215;2;l1
02/01/2022;AF0216;2;l1
02/01/2022;AF0217;2;l2
02/01/2022;AF0218;2;l1
02/01/2022;AF0219;2;l4
02/01/2022;AF0220;3;l5
02/01/2022;AF0221;2;l1
02/01/2022;AF0222;3;l4
02/01/2022;AF0223;6;l4
02/01/2022;AF0224;2;l2
02/01/2022;AF0225;1;l3
02/01/2022;AF0226;6;l5
02/01/2022;AF0227;3;l3
02/01/2022;AF0228;2;l3
02/01/2022;AF0229;2;l1
02/01/2022;AF0230;3;l2
02/01/2022;AF0231;5;l4
02/01/2022;AF0232;2;l1
02/01/2022;AF0233;3;l2
02/01/2022;AF0234;3;l2
02/01/2022;AF0235;3;l1
02/01/2022;AF0236;7;l1
02/01/2022;AF0237;4;l2
02/01/2022;AF0238;6;l1
02/01/2022;AF0239;3;l2
02/01/2022;AF0240;3;l1
02/01/2022;AF0241;5;l3
02/01/2022;AF0242;2;l1
02/01/2022;AF0243;2;l3
02/01/2022;AF0244;7;l3
02/01/2022;AF0245;5;l3
02/01/2022;AF0246;9;l5
02/01/2022;AF0247;9;l5
02/01/2022;AF0248;9;l5
02/01/2022;AF0249;5;l1
02/01/2022;AF0250;7;l4
02/01/2022;AF0251;5;l1
02/01/2022;AF0252;9;l1
02/01/2022;AF0253;3;l2
02/01/2022;AF0254;7;l2
02/01/2022;AF0255;7;l5
02/01/2022;AF0256;9;l3
02/01/2022;AF0257;9;l5
02/01/2022;AF0258;3;l1
02/01/2022;AF0259;2;l3
02/01/2022;AF0260;3;l1
02/01/2022;AF0261;3;l1
03/01/2022;AF0262;5;l1
03/01/2022;AF0263;3;l1
03/01/2022;AF0264;4;l4
03/01/2022;AF0265;2;l1
03/01/2022;AF0266;3;l2
03/01/2022;AF0267;1;l3
03/01/2022;AF0268;1;l1
03/01/2022;AF0269;3;l1
03/01/2022;AF0270;3;l5
03/01/2022;AF0271;7;l5
03/01/2022;AF0272;2;l2
03/01/2022;AF0273;3;l3
03/01/2022;AF0274;5;l3
03/01/2022;AF0275;3;l5
03/01/2022;AF0276;3;l2
03/01/2022;AF0277;2;l5
03/01/2022;AF0278;3;l4
03/01/2022;AF0279;3;l2
03/01/2022;AF0280;7;l5
03/01/2022;AF0281;5;l5
03/01/2022;AF0282;4;l1
03/01/2022;AF0283;9;l1
03/01/2022;AF0284;1;l5
03/01/2022;AF0285;9;l4
03/01/2022;AF0286;3;l1
03/01/2022;AF0287;6;l5
03/01/2022;AF0288;7;l1
03/01/2022;AF0289;7;l5
03/01/2022;AF0290;1;l2
03/01/2022;AF0291;5;l3
03/01/2022;AF0292;3;l4
03/01/2022;AF0293;1;l1
03/01/2022;AF0294;9;l4
03/01/2022;AF0295;7;l3
03/01/2022;AF0296;6;l5
03/01/2022;AF0297;2;l4
03/01/2022;AF0298;4;l5
03/01/2022;AF0299;9;l1
03/01/2022;AF0300;3;l3
03/01/2022;AF0301;9;l1
03/01/2022;AF0302;9;l5
03/01/2022;AF0303;3;l5
03/01/2022;AF0304;4;l4
03/01/2022;AF0305;9;l4
03/01/2022;AF0306;5;l1
03/01/2022;AF0307;2;l2
03/01/2022;AF0308;3;l1
03/01/2022;AF0309;9;l5
03/01/2022;AF0310;5;l5
03/01/2022;AF0311;7;l2
03/01/2022;AF0312;2;l4
03/01/2022;AF0313;1;l5
03/01/2022;AF0314;9;l1
03/01/2022;AF0315;2;l1
03/01/2022;AF0316;4;l1
03/01/2022;AF0317;2;l5
03/01/2022;AF0318;6;l4
03/01/2022;AF0319;7;l2
03/01/2022;AF0320;7;l4
03/01/2022;AF0321;4;l2
03/01/2022;AF0322;2;l5
03/01/2022;AF0323;7;l2
03/01/2022;AF0324;5;l5
03/01/2022;AF0325;4;l1
03/01/2022;AF0326;3;l2
03/01/2022;AF0327;2;l4
03/01/2022;AF0328;3;l2
03/01/2022;AF0329;5;l2
03/01/2022;AF0330;3;l5
03/01/2022;AF0331;5;l4
03/01/2022;AF0332;1;l3
03/01/2022;AF0333;7;l4
03/01/2022;AF0334;5;l3
03/01/2022;AF0335;5;l5
03/01/2022;AF0336;4;l3
03/01/2022;AF0337;2;l4
03/01/2022;AF0338;5;l3
03/01/2022;AF0339;6;l3
03/01/2022;AF0340;7;l5
03/01/2022;AF0341;3;l5
03/01/2022;AF0342;6;l2
03/01/2022;AF0343;2;l1
03/01/2022;AF0344;5;l2
03/01/2022;AF0345;1;l2
03/01/2022;AF0346;3;l1
03/01/2022;AF0347;2;l1
03/01/2022;AF0348;4;l4
03/01/2022;AF0349;5;l3
03/01/2022;AF0350;6;l2
03/01/2022;AF0351;9;l5
03/01/2022;AF0352;6;l1
03/01/2022;AF0353;7;l3
03/01/2022;AF0354;9;l2
03/01/2022;AF0355;3;l4
03/01/2022;AF0356;6;l5
03/01/2022;AF0357;2;l1
03/01/2022;AF0358;7;l2
03/01/2022;AF0359;1;l3
03/01/2022;AF0360;2;l2
03/01/2022;AF0361;9;l4
03/01/2022;AF0362;6;l1
03/01/2022;AF0363;3;l1
03/01/2022;AF0364;7;l4
03/01/2022;AF0365;5;l5
03/01/2022;AF0366;1;l5
03/01/2022;AF0367;9;l2
03/01/2022;AF0368;2;l5
03/01/2022;AF0369;2;l1
03/01/2022;AF0370;7;l1
03/01/2022;AF0371;7;l4
03/01/2022;AF0372;4;l1
03/01/2022;AF0373;3;l4
03/01/2022;AF0374;2;l4
03/01/2022;AF0375;4;l5
03/01/2022;AF0376;3;l2
03/01/2022;AF0377;3;l5
03/01/2022;AF0378;1;l5
03/01/2022;AF0379;2;l1
03/01/2022;AF0380;9;l4
03/01/2022;AF0381;2;l2
03/01/2022;AF0382;5;l4
03/01/2022;AF0383;5;l1
03/01/2022;AF0384;1;l4
03/01/2022;AF0385;5;l3
03/01/2022;AF0386;9;l2
03/01/2022;AF0387;1;l2
03/01/2022;AF0388;2;l5
03/01/2022;AF0389;7;l4
03/01/2022;AF0390;6;l2
03/01/2022;AF0391;3;l3
03/01/2022;AF0392;9;l5
03/01/2022;AF0393;7;l3
03/01/2022;AF0394;4;l2
03/01/2022;AF0395;9;l3
03/01/2022;AF0396;2;l5
03/01/2022;AF0397;4;l2
03/01/2022;AF0398;7;l1
04/01/2022;AF0399;2;l2
04/01/2022;AF0400;4;l4
04/01/2022;AF0401;7;l3
04/01/2022;AF0402;7;l4
04/01/2022;AF0403;1;l5
04/01/2022;AF0404;2;l4
04/01/2022;AF0405;3;l1
04/01/2022;AF0406;3;l5
04/01/2022;AF0407;6;l5
04/01/2022;AF0408;1;l3
04/01/2022;AF0409;6;l5
04/01/2022;AF0410;3;l3
04/01/2022;AF0411;9;l3
04/01/2022;AF0412;3;l1
04/01/2022;AF0413;6;l2
04/01/2022;AF0414;3;l3
04/01/2022;AF0415;2;l5
04/01/2022;AF0416;4;l5
04/01/2022;AF0417;9;l4
04/01/2022;AF0418;3;l2
04/01/2022;AF0419;4;l2
04/01/2022;AF0420;3;l2
04/01/2022;AF0421;1;l1
04/01/2022;AF0422;6;l3
04/01/2022;AF0423;9;l2
04/01/2022;AF0424;1;l4
04/01/2022;AF0425;5;l1
04/01/2022;AF0426;3;l5
04/01/2022;AF0427;1;l3
04/01/2022;AF0428;1;l5
04/01/2022;AF0429;2;l2
04/01/2022;AF0430;1;l3
04/01/2022;AF0431;3;l5
04/01/2022;AF0432;6;l4
04/01/2022;AF0433;5;l3
04/01/2022;AF0434;2;l2
04/01/2022;AF0435;5;l4
04/01/2022;AF0436;6;l1
04/01/2022;AF0437;7;l5
04/01/2022;AF0438;2;l3
04/01/2022;AF0439;9;l4
04/01/2022;AF0440;1;l4
04/01/2022;AF0441;4;l3
04/01/2022;AF0442;2;l1
04/01/2022;AF0443;3;l3
04/01/2022;AF0444;3;l2
04/01/2022;AF0445;2;l2
04/01/2022;AF0446;9;l3
04/01/2022;AF0447;6;l3
04/01/2022;AF0448;3;l5
04/01/2022;AF0449;3;l3
04/01/2022;AF0450;1;l3
04/01/2022;AF0451;4;l3
04/01/2022;AF0452;3;l2
04/01/2022;AF0453;2;l5
04/01/2022;AF0454;5;l5
04/01/2022;AF0455;2;l1
04/01/2022;AF0456;6;l5
04/01/2022;AF0457;1;l2
04/01/2022;AF0458;5;l1
04/01/2022;AF0459;9;l4
04/01/2022;AF0460;4;l4
04/01/2022;AF0461;7;l2
04/01/2022;AF0462;9;l2
04/01/2022;AF0463;2;l4
04/01/2022;AF0464;1;l5
04/01/2022;AF0465;4;l5
04/01/2022;AF0466;2;l4
04/01/2022;AF0467;5;l2
04/01/2022;AF0468;9;l5
04/01/2022;AF0469;6;l2
04/01/2022;AF0470;6;l2
04/01/2022;AF0471;3;l5
04/01/2022;AF0472;5;l2
04/01/2022;AF0473;1;l1
04/01/2022;AF0474;2;l4
04/01/2022;AF0475;7;l5
04/01/2022;AF0476;4;l4
04/01/2022;AF0477;5;l1
04/01/2022;AF0478;1;l2
04/01/2022;AF0479;9;l2
04/01/2022;AF0480;3;l5
04/01/2022;AF0481;2;l1
04/01/2022;AF0482;9;l5
04/01/2022;AF0483;9;l5
04/01/2022;AF0484;9;l1
04/01/2022;AF0485;7;l4
04/01/2022;AF0486;5;l2
04/01/2022;AF0487;5;l1
04/01/2022;AF0488;4;l2
04/01/2022;AF0489;3;l3
04/01/2022;AF0490;9;l1
04/01/2022;AF0491;2;l1
04/01/2022;AF0492;6;l5
04/01/2022;AF0493;7;l4
04/01/2022;AF0494;3;l2
04/01/2022;AF0495;5;l1
04/01/2022;AF0496;3;l5
04/01/2022;AF0497;6;l1
04/01/2022;AF0498;3;l4
04/01/2022;AF0499;3;l4
04/01/2022;AF0500;9;l5
04/01/2022;AF0501;3;l3
04/01/2022;AF0502;3;l1
04/01/2022;AF0503;3;l4
04/01/2022;AF0504;6;l3
04/01/2022;AF0505;3;l2
04/01/2022;AF0506;2;l2
04/01/2022;AF0507;7;l1
04/01/2022;AF0508;1;l4
04/01/2022;AF0509;6;l1
04/01/2022;AF0510;5;l1
04/01/2022;AF0511;6;l1
04/01/2022;AF0512;2;l5
04/01/2022;AF0513;6;l4
04/01/2022;AF0514;1;l1
04/01/2022;AF0515;4;l5
04/01/2022;AF0516;1;l4
04/01/2022;AF0517;3;l1
04/01/2022;AF0518;2;l3
04/01/2022;AF0519;2;l3
04/01/2022;AF0520;5;l5
04/01/2022;AF0521;7;l4
04/01/2022;AF0522;9;l1
04/01/2022;AF0523;7;l5
04/01/2022;AF0524;3;l4
04/01/2022;AF0525;3;l4
04/01/2022;AF0526;4;l4
04/01/2022;AF0527;2;l2
04/01/2022;AF0528;3;l1
04/01/2022;AF0529;5;l2
04/01/2022;AF0530;2;l5
04/01/2022;AF0531;1;l1
04/01/2022;AF0532;3;l3
04/01/2022;AF0533;4;l5
04/01/2022;AF0534;2;l3
04/01/2022;AF0535;3;l1
04/01/2022;AF0536;4;l4
04/01/2022;AF0537;6;l2
04/01/2022;AF0538;1;l3
04/01/2022;AF0539;3;l5
04/01/2022;AF0540;7;l5
05/01/2022;AF0541;4;l5
05/01/2022;AF0542;5;l4
05/01/2022;AF0543;5;l1
05/01/2022;AF0544;1;l5
05/01/2022;AF0545;2;l2
05/01/2022;AF0546;9;l5
05/01/2022;AF0547;3;l3
05/01/2022;AF0548;3;l1
05/01/2022;AF0549;1;l1
05/01/2022;AF0550;2;l4
05/01/2022;AF0551;7;l2
05/01/2022;AF0552;3;l1
05/01/2022;AF0553;4;l2
05/01/2022;AF0554;3;l1
05/01/2022;AF0555;3;l3
05/01/2022;AF0556;3;l2
05/01/2022;AF0557;4;l2
05/01/2022;AF0558;2;l2
05/01/2022;AF0559;5;l4
05/01/2022;AF0560;2;l2
05/01/2022;AF0561;3;l1
05/01/2022;AF0562;4;l1
05/01/2022;AF0563;6;l1
05/01/2022;AF0564;5;l1
05/01/2022;AF0565;4;l1
05/01/2022;AF0566;2;l1
05/01/2022;AF0567;6;l5
05/01/2022;AF0568;4;l5
05/01/2022;AF0569;1;l3
05/01/2022;AF0570;4;l1
05/01/2022;AF0571;1;l2
05/01/2022;AF0572;4;l1
05/01/2022;AF0573;1;l4
05/01/2022;AF0574;3;l5
05/01/2022;AF0575;2;l5
05/01/2022;AF0576;2;l4
05/01/2022;AF0577;2;l1
05/01/2022;AF0578;4;l3
05/01/2022;AF0579;2;l5
05/01/2022;AF0580;6;l4
05/01/2022;AF0581;2;l2
05/01/2022;AF0582;1;l3
05/01/2022;AF0583;3;l2
05/01/2022;AF0584;9;l5
05/01/2022;AF0585;3;l2
05/01/2022;AF0586;5;l2
05/01/2022;AF0587;3;l3
05/01/2022;AF0588;4;l5
05/01/2022;AF0589;7;l3
05/01/2022;AF0590;1;l5
05/01/2022;AF0591;3;l4
05/01/2022;AF0592;3;l1
05/01/2022;AF0593;3;l3
05/01/2022;AF0594;2;l2
05/01/2022;AF0595;2;l2
05/01/2022;AF0596;7;l2
05/01/2022;AF0597;3;l5
05/01/2022;AF0598;2;l3
05/01/2022;AF0599;2;l5
05/01/2022;AF0600;5;l2
05/01/2022;AF0601;6;l5
05/01/2022;AF0602;2;l3
05/01/2022;AF0603;2;l3
05/01/2022;AF0604;5;l4
05/01/2022;AF0605;1;l2
05/01/2022;AF0606;3;l5
05/01/2022;AF0607;1;l5
05/01/2022;AF0608;3;l4
05/01/2022;AF0609;7;l5
05/01/2022;AF0610;7;l1
05/01/2022;AF0611;6;l4
05/01/2022;AF0612;4;l5
05/01/2022;AF0613;2;l5
05/01/2022;AF0614;3;l1
05/01/2022;AF0615;4;l2
05/01/2022;AF0616;2;l5
05/01/2022;AF0617;3;l4
05/01/2022;AF0618;6;l3
05/01/2022;AF0619;4;l2
05/01/2022;AF0620;9;l4
05/01/2022;AF0621;4;l2
05/01/2022;AF0622;2;l2
05/01/2022;AF0623;4;l3
05/01/2022;AF0624;6;l5
05/01/2022;AF0625;9;l1
05/01/2022;AF0626;7;l1
05/01/2022;AF0627;3;l1
05/01/2022;AF0628;2;l1
05/01/2022;AF0629;1;l4
05/01/2022;AF0630;3;l2
05/01/2022;AF0631;3;l2
05/01/2022;AF0632;1;l3
05/01/2022;AF0633;7;l4
05/01/2022;AF0634;2;l1
05/01/2022;AF0635;5;l3
05/01/2022;AF0636;5;l2
05/01/2022;AF0637;2;l5
05/01/2022;AF0638;6;l3
05/01/2022;AF0639;6;l1
05/01/2022;AF0640;1;l5
05/01/2022;AF0641;4;l4
05/01/2022;AF0642;7;l3
05/01/2022;AF0643;4;l1
05/01/2022;AF0644;1;l4
05/01/2022;AF0645;1;l4
05/01/2022;AF0646;5;l5
05/01/2022;AF0647;3;l5
05/01/2022;AF0648;3;l1
05/01/2022;AF0649;1;l4
05/01/2022;AF0650;5;l4
05/01/2022;AF0651;2;l4
05/01/2022;AF0652;5;l1
05/01/2022;AF0653;1;l1
05/01/2022;AF0654;1;l1
05/01/2022;AF0655;5;l3
05/01/2022;AF0656;5;l3
05/01/2022;AF0657;9;l4
05/01/2022;AF0658;3;l3
05/01/2022;AF0659;1;l4
05/01/2022;AF0660;1;l3
05/01/2022;AF0661;6;l1
05/01/2022;AF0662;3;l2
05/01/2022;AF0663;4;l1
05/01/2022;AF0664;6;l4
05/01/2022;AF0665;9;l5
05/01/2022;AF0666;6;l4
05/01/2022;AF0667;5;l3
05/01/2022;AF0668;6;l3
05/01/2022;AF0669;6;l5
05/01/2022;AF0670;3;l2
05/01/2022;AF0671;4;l1
05/01/2022;AF0672;3;l4
05/01/2022;AF0673;5;l3
05/01/2022;AF0674;5;l5
05/01/2022;AF0675;1;l4
05/01/2022;AF0676;3;l2
05/01/2022;AF0677;1;l5
05/01/2022;AF0678;1;l5
05/01/2022;AF0679;1;l1
05/01/2022;AF0680;5;l3
05/01/2022;AF0681;9;l3
05/01/2022;AF0682;2;l2
05/01/2022;AF0683;3;l2
05/01/2022;AF0684;3;l5
05/01/2022;AF0685;2;l1
06/01/2022;AF0686;1;l5
06/01/2022;AF0687;2;l2
06/01/2022;AF0688;6;l3
06/01/2022;AF0689;1;l4
06/01/2022;AF0690;4;l4
06/01/2022;AF0691;9;l5
06/01/2022;AF0692;1;l5
06/01/2022;AF0693;2;l4
06/01/2022;AF0694;1;l3
06/01/2022;AF0695;7;l3
06/01/2022;AF0696;1;l1
06/01/2022;AF0697;4;l3
06/01/2022;AF0698;7;l5
06/01/2022;AF0699;5;l1
06/01/2022;AF0700;1;l2
06/01/2022;AF0701;4;l2
06/01/2022;AF0702;2;l2
06/01/2022;AF0703;1;l5
06/01/2022;AF0704;2;l4
06/01/2022;AF0705;9;l3
06/01/2022;AF0706;3;l3
06/01/2022;AF0707;7;l2
06/01/2022;AF0708;9;l4
06/01/2022;AF0709;9;l4
06/01/2022;AF0710;1;l3
06/01/2022;AF0711;7;l5
06/01/2022;AF0712;7;l1
06/01/2022;AF0713;6;l1
06/01/2022;AF0714;6;l2
06/01/2022;AF0715;9;l4
06/01/2022;AF0716;6;l2
06/01/2022;AF0717;5;l5
06/01/2022;AF0718;5;l2
06/01/2022;AF0719;3;l5
06/01/2022;AF0720;7;l2
06/01/2022;AF0721;3;l2
06/01/2022;AF0722;4;l3
06/01/2022;AF0723;1;l2
06/01/2022;AF0724;6;l4
06/01/2022;AF0725;4;l5
06/01/2022;AF0726;6;l2
06/01/2022;AF0727;1;l3
06/01/2022;AF0728;1;l5
06/01/2022;AF0729;1;l1
06/01/2022;AF0730;3;l5
06/01/2022;AF0731;5;l1
06/01/2022;AF0732;5;l4
06/01/2022;AF0733;2;l1
06/01/2022;AF0734;2;l5
06/01/2022;AF0735;1;l3
06/01/2022;AF0736;3;l2
06/01/2022;AF0737;7;l5
06/01/2022;AF0738;4;l5
06/01/2022;AF0739;9;l2
06/01/2022;AF0740;7;l3
06/01/2022;AF0741;4;l4
06/01/2022;AF0742;7;l1
06/01/2022;AF0743;4;l3
06/01/2022;AF0744;5;l3
06/01/2022;AF0745;6;l2
06/01/2022;AF0746;9;l4
06/01/2022;AF0747;2;l5
06/01/2022;AF0748;6;l2
06/01/2022;AF0749;4;l3
06/01/2022;AF0750;9;l2
06/01/2022;AF0751;3;l2
06/01/2022;AF0752;1;l1
06/01/2022;AF0753;3;l5
06/01/2022;AF0754;5;l1
06/01/2022;AF0755;5;l5
06/01/2022;AF0756;3;l1
06/01/2022;AF0757;1;l5
06/01/2022;AF0758;5;l2
06/01/2022;AF0759;3;l1
06/01/2022;AF0760;3;l5
06/01/2022;AF0761;6;l2
06/01/2022;AF0762;1;l5
06/01/2022;AF0763;4;l3
06/01/2022;AF0764;5;l4
06/01/2022;AF0765;3;l4
06/01/2022;AF0766;5;l2
06/01/2022;AF0767;3;l2
06/01/2022;AF0768;6;l2
06/01/2022;AF0769;3;l2
06/01/2022;AF0770;7;l3
06/01/2022;AF0771;4;l4
06/01/2022;AF0772;2;l1
06/01/2022;AF0773;5;l2
06/01/2022;AF0774;4;l1
06/01/2022;AF0775;4;l1
06/01/2022;AF0776;4;l1
06/01/2022;AF0777;7;l2
06/01/2022;AF0778;6;l5
06/01/2022;AF0779;4;l2
06/01/2022;AF0780;3;l2
06/01/2022;AF0781;3;l2
06/01/2022;AF0782;9;l1
06/01/2022;AF0783;1;l4
06/01/2022;AF0784;2;l4
06/01/2022;AF0785;1;l3
06/01/2022;AF0786;7;l4
06/01/2022;AF0787;3;l4
06/01/2022;AF0788;2;l5
06/01/2022;AF0789;5;l3
06/01/2022;AF0790;6;l5
06/01/2022;AF0791;3;l5
06/01/2022;AF0792;3;l2
06/01/2022;AF0793;7;l2
06/01/2022;AF0794;7;l2
06/01/2022;AF0795;4;l3
06/01/2022;AF0796;3;l2
06/01/2022;AF0797;9;l2
06/01/2022;AF0798;7;l3
06/01/2022;AF0799;4;l5
06/01/2022;AF0800;2;l3
06/01/2022;AF0801;5;l5
06/01/2022;AF0802;3;l5
06/01/2022;AF0803;6;l1
06/01/2022;AF0804;3;l5
06/01/2022;AF0805;7;l1
06/01/2022;AF0806;9;l3
06/01/2022;AF0807;1;l1
06/01/2022;AF0808;2;l4
06/01/2022;AF0809;1;l5
06/01/2022;AF0810;2;l1
06/01/2022;AF0811;5;l3
06/01/2022;AF0812;7;l3
06/01/2022;AF0813;7;l2
06/01/2022;AF0814;3;l4
06/01/2022;AF0815;2;l4
06/01/2022;AF0816;3;l5
07/01/2022;AF0817;2;l4
07/01/2022;AF0818;9;l3
07/01/2022;AF0819;7;l4
