DATA_VENDA;COD_VENDA;COD_PRODUTO;COD_VENDEDOR;CIDADE_LOJA
01/01/2022;100117;8;500008;São Paulo
01/01/2022;100118;2;500007;Curitiba
01/01/2022;100119;8;500002;São Paulo
01/01/2022;100120;9;500012;Porto Alegre
01/01/2022;100121;4;500007;Rio de Janeiro
01/01/2022;100122;5;500006;Rio de Janeiro
01/01/2022;100123;7;500006;São Paulo
01/01/2022;100124;10;500014;Rio de Janeiro
01/01/2022;100125;5;500010;Rio de Janeiro
01/01/2022;100126;3;500012;Curitiba
01/01/2022;100127;4;500001;São Paulo
01/01/2022;100128;5;500010;Curitiba
01/01/2022;100129;6;500008;Curitiba
01/01/2022;100130;1;500009;Curitiba
02/01/2022;100131;8;500009;Rio de Janeiro
02/01/2022;100132;1;500005;Curitiba
02/01/2022;100133;6;500003;Porto Alegre
02/01/2022;100134;3;500015;Rio de Janeiro
02/01/2022;100135;9;500007;Porto Alegre
02/01/2022;100136;2;500002;São Paulo
02/01/2022;100137;3;500003;São Paulo
02/01/2022;100138;9;500010;Rio de Janeiro
02/01/2022;100139;4;500003;São Paulo
02/01/2022;100140;8;500009;Porto Alegre
02/01/2022;100141;4;500008;Porto Alegre
02/01/2022;100142;9;500005;Rio de Janeiro
02/01/2022;100143;8;500012;Curitiba
02/01/2022;100144;6;500001;Rio de Janeiro
02/01/2022;100145;3;500008;Porto Alegre
02/01/2022;100146;9;500010;São Paulo
02/01/2022;100147;4;500011;Rio de Janeiro
02/01/2022;100148;10;500010;São Paulo
02/01/2022;100149;3;500005;Rio de Janeiro
02/01/2022;100150;8;500006;São Paulo
02/01/2022;100151;1;500001;São Paulo
02/01/2022;100152;10;500002;Rio de Janeiro
02/01/2022;100153;3;500002;São Paulo
02/01/2022;100154;7;500015;São Paulo
02/01/2022;100155;5;500002;Curitiba
02/01/2022;100156;10;500006;São Paulo
02/01/2022;100157;8;500001;São Paulo
02/01/2022;100158;1;500013;São Paulo
02/01/2022;100159;2;500009;Curitiba
02/01/2022;100160;10;500010;Curitiba
02/01/2022;100161;10;500003;São Paulo
02/01/2022;100162;1;500002;Rio de Janeiro
02/01/2022;100163;1;500006;São Paulo
02/01/2022;100164;10;500005;Porto Alegre
02/01/2022;100165;6;500009;Curitiba
02/01/2022;100166;9;500004;São Paulo
02/01/2022;100167;7;500004;Rio de Janeiro
02/01/2022;100168;10;500006;Porto Alegre
02/01/2022;100169;8;500002;Curitiba
02/01/2022;100170;4;500005;Curitiba
02/01/2022;100171;4;500004;São Paulo
02/01/2022;100172;9;500013;Rio de Janeiro
02/01/2022;100173;5;500009;Curitiba
02/01/2022;100174;4;500006;São Paulo
02/01/2022;100175;3;500007;São Paulo
02/01/2022;100176;4;500004;Porto Alegre
02/01/2022;100177;10;500003;Porto Alegre
02/01/2022;100178;2;500002;Porto Alegre
02/01/2022;100179;6;500007;Curitiba
02/01/2022;100180;7;500010;São Paulo
02/01/2022;100181;3;500007;Curitiba
02/01/2022;100182;5;500006;Curitiba
02/01/2022;100183;2;500007;São Paulo
02/01/2022;100184;1;500002;Rio de Janeiro
02/01/2022;100185;5;500013;Rio de Janeiro
02/01/2022;100186;9;500009;Curitiba
02/01/2022;100187;2;500007;Rio de Janeiro
02/01/2022;100188;7;500009;São Paulo
02/01/2022;100189;2;500010;Porto Alegre
02/01/2022;100190;5;500007;São Paulo
02/01/2022;100191;8;500014;São Paulo
02/01/2022;100192;2;500009;Porto Alegre
02/01/2022;100193;9;500012;Rio de Janeiro
02/01/2022;100194;10;500003;São Paulo
02/01/2022;100195;4;500011;Curitiba
02/01/2022;100196;7;500007;Rio de Janeiro
02/01/2022;100197;10;500010;São Paulo
02/01/2022;100198;3;500005;Rio de Janeiro
02/01/2022;100199;5;500006;São Paulo
02/01/2022;100200;8;500010;Porto Alegre
02/01/2022;100201;5;500001;São Paulo
02/01/2022;100202;9;500011;Rio de Janeiro
02/01/2022;100203;3;500009;Porto Alegre
02/01/2022;100204;10;500011;Porto Alegre
02/01/2022;100205;4;500009;Rio de Janeiro
02/01/2022;100206;10;500010;Porto Alegre
02/01/2022;100207;3;500008;São Paulo
02/01/2022;100208;1;500003;São Paulo
02/01/2022;100209;1;500008;São Paulo
02/01/2022;100210;10;500009;Rio de Janeiro
02/01/2022;100211;8;500005;Porto Alegre
02/01/2022;100212;7;500003;Curitiba
02/01/2022;100213;10;500013;Rio de Janeiro
02/01/2022;100214;9;500014;Curitiba
02/01/2022;100215;10;500002;Rio de Janeiro
02/01/2022;100216;2;500002;Porto Alegre
02/01/2022;100217;10;500005;São Paulo
02/01/2022;100218;10;500001;Porto Alegre
02/01/2022;100219;10;500011;São Paulo
02/01/2022;100220;3;500014;Porto Alegre
02/01/2022;100221;2;500003;São Paulo
02/01/2022;100222;8;500011;Curitiba
02/01/2022;100223;6;500011;Porto Alegre
02/01/2022;100224;2;500004;Porto Alegre
02/01/2022;100225;1;500008;São Paulo
02/01/2022;100226;6;500014;Rio de Janeiro
02/01/2022;100227;8;500008;Curitiba
02/01/2022;100228;10;500008;Porto Alegre
02/01/2022;100229;10;500001;Porto Alegre
02/01/2022;100230;8;500006;Porto Alegre
02/01/2022;100231;5;500011;Porto Alegre
02/01/2022;100232;10;500003;Curitiba
02/01/2022;100233;3;500005;Porto Alegre
02/01/2022;100234;8;500004;São Paulo
02/01/2022;100235;8;500002;Curitiba
02/01/2022;100236;7;500001;Porto Alegre
02/01/2022;100237;4;500005;São Paulo
02/01/2022;100238;6;500003;Porto Alegre
02/01/2022;100239;3;500006;Curitiba
02/01/2022;100240;3;500001;Rio de Janeiro
02/01/2022;100241;5;500007;São Paulo
02/01/2022;100242;10;500002;Porto Alegre
02/01/2022;100243;10;500009;São Paulo
02/01/2022;100244;7;500008;Curitiba
02/01/2022;100245;5;500007;Rio de Janeiro
02/01/2022;100246;9;500013;Curitiba
02/01/2022;100247;9;500013;Porto Alegre
02/01/2022;100248;9;500014;São Paulo
02/01/2022;100249;5;500001;Porto Alegre
02/01/2022;100250;7;500011;Rio de Janeiro
02/01/2022;100251;5;500003;Curitiba
02/01/2022;100252;9;500002;Rio de Janeiro
02/01/2022;100253;3;500006;São Paulo
02/01/2022;100254;7;500004;São Paulo
02/01/2022;100255;7;500014;Rio de Janeiro
02/01/2022;100256;9;500009;Porto Alegre
02/01/2022;100257;9;500015;Porto Alegre
02/01/2022;100258;8;500002;Porto Alegre
02/01/2022;100259;10;500008;Rio de Janeiro
02/01/2022;100260;8;500002;Rio de Janeiro
02/01/2022;100261;3;500002;Curitiba
03/01/2022;100262;5;500002;Porto Alegre
03/01/2022;100263;3;500003;Rio de Janeiro
03/01/2022;100264;4;500012;Porto Alegre
03/01/2022;100265;2;500003;Rio de Janeiro
03/01/2022;100266;3;500005;Porto Alegre
03/01/2022;100267;1;500008;Rio de Janeiro
03/01/2022;100268;1;500003;Porto Alegre
03/01/2022;100269;8;500002;Rio de Janeiro
03/01/2022;100270;3;500015;Curitiba
03/01/2022;100271;7;500015;Porto Alegre
03/01/2022;100272;10;500005;Porto Alegre
03/01/2022;100273;3;500009;São Paulo
03/01/2022;100274;5;500009;Curitiba
03/01/2022;100275;8;500014;Rio de Janeiro
03/01/2022;100276;8;500005;Rio de Janeiro
03/01/2022;100277;2;500015;Rio de Janeiro
03/01/2022;100278;3;500012;Curitiba
03/01/2022;100279;8;500004;Porto Alegre
03/01/2022;100280;7;500015;São Paulo
03/01/2022;100281;5;500015;Rio de Janeiro
03/01/2022;100282;4;500003;Porto Alegre
03/01/2022;100283;9;500003;Porto Alegre
03/01/2022;100284;1;500014;Curitiba
03/01/2022;100285;9;500011;Curitiba
03/01/2022;100286;3;500003;Curitiba
03/01/2022;100287;6;500013;Curitiba
03/01/2022;100288;7;500002;Rio de Janeiro
03/01/2022;100289;7;500014;Curitiba
03/01/2022;100290;1;500006;Curitiba
03/01/2022;100291;5;500009;São Paulo
03/01/2022;100292;8;500011;Porto Alegre
03/01/2022;100293;1;500003;Rio de Janeiro
03/01/2022;100294;9;500010;Curitiba
03/01/2022;100295;7;500008;Curitiba
03/01/2022;100296;6;500013;Porto Alegre
03/01/2022;100297;2;500012;São Paulo
03/01/2022;100298;4;500014;São Paulo
03/01/2022;100299;9;500002;Rio de Janeiro
03/01/2022;100300;3;500009;São Paulo
03/01/2022;100301;9;500003;Porto Alegre
03/01/2022;100302;9;500015;São Paulo
03/01/2022;100303;8;500013;São Paulo
03/01/2022;100304;4;500012;Porto Alegre
03/01/2022;100305;9;500010;Curitiba
03/01/2022;100306;5;500002;São Paulo
03/01/2022;100307;10;500005;Rio de Janeiro
03/01/2022;100308;3;500001;São Paulo
03/01/2022;100309;9;500015;São Paulo
03/01/2022;100310;5;500013;Rio de Janeiro
03/01/2022;100311;7;500005;São Paulo
03/01/2022;100312;2;500011;São Paulo
03/01/2022;100313;1;500013;São Paulo
03/01/2022;100314;9;500002;Curitiba
03/01/2022;100315;2;500001;São Paulo
03/01/2022;100316;4;500002;São Paulo
03/01/2022;100317;10;500015;São Paulo
03/01/2022;100318;6;500012;São Paulo
03/01/2022;100319;7;500006;Porto Alegre
03/01/2022;100320;7;500012;Rio de Janeiro
03/01/2022;100321;4;500004;Rio de Janeiro
03/01/2022;100322;2;500013;São Paulo
03/01/2022;100323;7;500006;Rio de Janeiro
03/01/2022;100324;5;500014;São Paulo
03/01/2022;100325;4;500001;São Paulo
03/01/2022;100326;3;500006;Curitiba
03/01/2022;100327;10;500011;São Paulo
03/01/2022;100328;3;500005;Curitiba
03/01/2022;100329;5;500006;Porto Alegre
03/01/2022;100330;3;500015;Rio de Janeiro
03/01/2022;100331;5;500012;Porto Alegre
03/01/2022;100332;1;500007;Curitiba
03/01/2022;100333;7;500011;São Paulo
03/01/2022;100334;5;500007;Rio de Janeiro
03/01/2022;100335;5;500013;São Paulo
03/01/2022;100336;4;500009;São Paulo
03/01/2022;100337;10;500012;Porto Alegre
03/01/2022;100338;5;500009;São Paulo
03/01/2022;100339;6;500008;Porto Alegre
03/01/2022;100340;7;500015;Porto Alegre
03/01/2022;100341;8;500014;São Paulo
03/01/2022;100342;6;500004;São Paulo
03/01/2022;100343;10;500001;Curitiba
03/01/2022;100344;5;500004;Porto Alegre
03/01/2022;100345;1;500004;Curitiba
03/01/2022;100346;8;500003;Rio de Janeiro
03/01/2022;100347;2;500002;Rio de Janeiro
03/01/2022;100348;4;500011;Curitiba
03/01/2022;100349;5;500008;Rio de Janeiro
03/01/2022;100350;6;500006;São Paulo
03/01/2022;100351;9;500013;Porto Alegre
03/01/2022;100352;6;500001;São Paulo
03/01/2022;100353;7;500008;Curitiba
03/01/2022;100354;9;500006;Porto Alegre
03/01/2022;100355;3;500011;Curitiba
03/01/2022;100356;6;500014;São Paulo
03/01/2022;100357;2;500002;Curitiba
03/01/2022;100358;7;500004;Curitiba
03/01/2022;100359;1;500008;Curitiba
03/01/2022;100360;2;500006;Porto Alegre
03/01/2022;100361;9;500011;Belo Horizonte
03/01/2022;100362;6;500001;Belo Horizonte
03/01/2022;100363;8;500003;Porto Alegre
03/01/2022;100364;7;500011;Porto Alegre
03/01/2022;100365;5;500015;Porto Alegre
03/01/2022;100366;1;500013;São Paulo
03/01/2022;100367;9;500004;Belo Horizonte
03/01/2022;100368;2;500014;Rio de Janeiro
03/01/2022;100369;2;500003;Porto Alegre
03/01/2022;100370;7;500003;São Paulo
03/01/2022;100371;7;500011;São Paulo
03/01/2022;100372;4;500002;Rio de Janeiro
03/01/2022;100373;8;500012;São Paulo
03/01/2022;100374;2;500010;Rio de Janeiro
03/01/2022;100375;4;500015;Porto Alegre
03/01/2022;100376;3;500006;Rio de Janeiro
03/01/2022;100377;8;500014;São Paulo
03/01/2022;100378;1;500015;Rio de Janeiro
03/01/2022;100379;10;500001;São Paulo
03/01/2022;100380;9;500011;Belo Horizonte
03/01/2022;100381;10;500005;Porto Alegre
03/01/2022;100382;5;500010;Rio de Janeiro
03/01/2022;100383;5;500003;São Paulo
03/01/2022;100384;1;500012;São Paulo
03/01/2022;100385;5;500008;Belo Horizonte
03/01/2022;100386;9;500004;São Paulo
03/01/2022;100387;1;500006;São Paulo
03/01/2022;100388;2;500015;Porto Alegre
03/01/2022;100389;7;500010;Porto Alegre
03/01/2022;100390;6;500006;São Paulo
03/01/2022;100391;3;500007;São Paulo
03/01/2022;100392;9;500014;São Paulo
03/01/2022;100393;7;500007;Porto Alegre
03/01/2022;100394;4;500004;Belo Horizonte
03/01/2022;100395;9;500007;Porto Alegre
03/01/2022;100396;2;500015;Rio de Janeiro
03/01/2022;100397;4;500006;São Paulo
03/01/2022;100398;7;500003;São Paulo
04/01/2022;100399;10;500006;Porto Alegre
04/01/2022;100400;4;500012;São Paulo
04/01/2022;100401;7;500007;São Paulo
04/01/2022;100402;7;500011;Porto Alegre
04/01/2022;100403;1;500015;São Paulo
04/01/2022;100404;10;500012;São Paulo
04/01/2022;100405;8;500003;Rio de Janeiro
04/01/2022;100406;3;500015;Porto Alegre
04/01/2022;100407;6;500015;São Paulo
04/01/2022;100408;1;500008;São Paulo
04/01/2022;100409;6;500013;Porto Alegre
04/01/2022;100410;8;500008;Belo Horizonte
04/01/2022;100411;9;500008;São Paulo
04/01/2022;100412;8;500001;Belo Horizonte
04/01/2022;100413;6;500006;Belo Horizonte
04/01/2022;100414;8;500008;Porto Alegre
04/01/2022;100415;2;500015;Porto Alegre
04/01/2022;100416;4;500015;Rio de Janeiro
04/01/2022;100417;9;500010;Rio de Janeiro
04/01/2022;100418;8;500004;Belo Horizonte
04/01/2022;100419;4;500006;Rio de Janeiro
04/01/2022;100420;3;500005;Belo Horizonte
04/01/2022;100421;1;500003;São Paulo
04/01/2022;100422;6;500007;São Paulo
04/01/2022;100423;9;500004;Belo Horizonte
04/01/2022;100424;1;500010;Porto Alegre
04/01/2022;100425;5;500001;São Paulo
04/01/2022;100426;3;500013;São Paulo
04/01/2022;100427;1;500009;Rio de Janeiro
04/01/2022;100428;1;500013;São Paulo
04/01/2022;100429;10;500006;Belo Horizonte
04/01/2022;100430;1;500007;Belo Horizonte
04/01/2022;100431;3;500014;Rio de Janeiro
04/01/2022;100432;6;500010;Porto Alegre
04/01/2022;100433;5;500009;São Paulo
04/01/2022;100434;10;500005;São Paulo
04/01/2022;100435;5;500010;Rio de Janeiro
04/01/2022;100436;6;500001;Porto Alegre
04/01/2022;100437;7;500014;Belo Horizonte
04/01/2022;100438;2;500009;São Paulo
04/01/2022;100439;9;500012;Belo Horizonte
04/01/2022;100440;1;500012;Porto Alegre
04/01/2022;100441;4;500009;São Paulo
04/01/2022;100442;2;500001;São Paulo
04/01/2022;100443;8;500008;São Paulo
04/01/2022;100444;3;500004;Belo Horizonte
04/01/2022;100445;10;500004;Rio de Janeiro
04/01/2022;100446;9;500009;São Paulo
04/01/2022;100447;6;500009;São Paulo
04/01/2022;100448;8;500014;Belo Horizonte
04/01/2022;100449;8;500008;Porto Alegre
04/01/2022;100450;1;500007;São Paulo
04/01/2022;100451;4;500009;Belo Horizonte
04/01/2022;100452;8;500006;Porto Alegre
04/01/2022;100453;2;500015;Porto Alegre
04/01/2022;100454;5;500015;Rio de Janeiro
04/01/2022;100455;2;500001;Belo Horizonte
04/01/2022;100456;6;500013;Rio de Janeiro
04/01/2022;100457;1;500006;Porto Alegre
04/01/2022;100458;5;500001;Porto Alegre
04/01/2022;100459;9;500010;Porto Alegre
04/01/2022;100460;4;500011;Belo Horizonte
04/01/2022;100461;7;500006;Belo Horizonte
04/01/2022;100462;9;500004;Porto Alegre
04/01/2022;100463;2;500010;Rio de Janeiro
04/01/2022;100464;1;500013;Belo Horizonte
04/01/2022;100465;4;500013;Porto Alegre
04/01/2022;100466;2;500010;Porto Alegre
04/01/2022;100467;5;500005;São Paulo
04/01/2022;100468;9;500015;Rio de Janeiro
04/01/2022;100469;6;500005;São Paulo
04/01/2022;100470;6;500005;Belo Horizonte
04/01/2022;100471;8;500015;Belo Horizonte
04/01/2022;100472;5;500005;São Paulo
04/01/2022;100473;1;500002;Rio de Janeiro
04/01/2022;100474;2;500011;Rio de Janeiro
04/01/2022;100475;7;500015;Rio de Janeiro
04/01/2022;100476;4;500012;São Paulo
04/01/2022;100477;5;500003;Belo Horizonte
04/01/2022;100478;1;500004;Rio de Janeiro
04/01/2022;100479;9;500005;São Paulo
04/01/2022;100480;3;500013;Porto Alegre
04/01/2022;100481;2;500001;São Paulo
04/01/2022;100482;9;500013;Porto Alegre
04/01/2022;100483;9;500014;São Paulo
04/01/2022;100484;9;500003;Rio de Janeiro
04/01/2022;100485;7;500012;São Paulo
04/01/2022;100486;5;500004;Rio de Janeiro
04/01/2022;100487;5;500003;Rio de Janeiro
04/01/2022;100488;4;500005;Porto Alegre
04/01/2022;100489;8;500009;Belo Horizonte
04/01/2022;100490;9;500002;Porto Alegre
04/01/2022;100491;10;500002;Porto Alegre
04/01/2022;100492;6;500015;Belo Horizonte
04/01/2022;100493;7;500010;Porto Alegre
04/01/2022;100494;8;500006;Belo Horizonte
04/01/2022;100495;5;500003;Rio de Janeiro
04/01/2022;100496;3;500013;Porto Alegre
04/01/2022;100497;6;500002;Porto Alegre
04/01/2022;100498;3;500011;Porto Alegre
04/01/2022;100499;3;500010;Rio de Janeiro
04/01/2022;100500;9;500013;São Paulo
04/01/2022;100501;8;500009;Belo Horizonte
04/01/2022;100502;3;500003;Porto Alegre
04/01/2022;100503;8;500010;São Paulo
04/01/2022;100504;6;500007;Belo Horizonte
04/01/2022;100505;3;500006;Rio de Janeiro
04/01/2022;100506;2;500005;Porto Alegre
04/01/2022;100507;7;500002;Belo Horizonte
04/01/2022;100508;1;500012;Porto Alegre
04/01/2022;100509;6;500003;Belo Horizonte
04/01/2022;100510;5;500002;São Paulo
04/01/2022;100511;6;500002;Porto Alegre
04/01/2022;100512;2;500015;Belo Horizonte
04/01/2022;100513;6;500011;Rio de Janeiro
04/01/2022;100514;1;500003;São Paulo
04/01/2022;100515;4;500013;Rio de Janeiro
04/01/2022;100516;1;500011;Rio de Janeiro
04/01/2022;100517;8;500003;São Paulo
04/01/2022;100518;10;500007;São Paulo
04/01/2022;100519;10;500009;São Paulo
04/01/2022;100520;5;500014;São Paulo
04/01/2022;100521;7;500012;São Paulo
04/01/2022;100522;9;500002;Porto Alegre
04/01/2022;100523;7;500014;São Paulo
04/01/2022;100524;3;500010;São Paulo
04/01/2022;100525;3;500012;Belo Horizonte
04/01/2022;100526;4;500010;Belo Horizonte
04/01/2022;100527;10;500004;São Paulo
04/01/2022;100528;8;500003;Porto Alegre
04/01/2022;100529;5;500004;Porto Alegre
04/01/2022;100530;10;500014;Rio de Janeiro
04/01/2022;100531;1;500002;Rio de Janeiro
04/01/2022;100532;8;500008;São Paulo
04/01/2022;100533;4;500014;Rio de Janeiro
04/01/2022;100534;2;500008;Belo Horizonte
04/01/2022;100535;8;500003;Porto Alegre
04/01/2022;100536;4;500012;Rio de Janeiro
04/01/2022;100537;6;500005;Rio de Janeiro
04/01/2022;100538;1;500009;Belo Horizonte
04/01/2022;100539;8;500013;São Paulo
04/01/2022;100540;7;500013;Porto Alegre
05/01/2022;100541;4;500015;São Paulo
05/01/2022;100542;5;500010;São Paulo
05/01/2022;100543;5;500003;São Paulo
05/01/2022;100544;1;500014;Rio de Janeiro
05/01/2022;100545;2;500004;Rio de Janeiro
05/01/2022;100546;9;500013;Belo Horizonte
05/01/2022;100547;8;500007;Belo Horizonte
05/01/2022;100548;3;500002;Belo Horizonte
05/01/2022;100549;1;500001;Porto Alegre
05/01/2022;100550;10;500010;Rio de Janeiro
05/01/2022;100551;7;500006;Rio de Janeiro
05/01/2022;100552;8;500001;Porto Alegre
05/01/2022;100553;4;500004;Belo Horizonte
05/01/2022;100554;8;500002;Porto Alegre
05/01/2022;100555;8;500009;Porto Alegre
05/01/2022;100556;3;500006;Belo Horizonte
05/01/2022;100557;4;500006;Belo Horizonte
05/01/2022;100558;2;500004;São Paulo
05/01/2022;100559;5;500012;Belo Horizonte
05/01/2022;100560;2;500004;Belo Horizonte
05/01/2022;100561;3;500002;Belo Horizonte
05/01/2022;100562;4;500002;São Paulo
05/01/2022;100563;6;500001;Belo Horizonte
05/01/2022;100564;5;500003;Porto Alegre
05/01/2022;100565;4;500003;São Paulo
05/01/2022;100566;2;500002;Porto Alegre
05/01/2022;100567;6;500013;São Paulo
05/01/2022;100568;4;500015;Porto Alegre
05/01/2022;100569;1;500008;Porto Alegre
05/01/2022;100570;4;500003;Porto Alegre
05/01/2022;100571;1;500005;Rio de Janeiro
05/01/2022;100572;4;500003;Belo Horizonte
05/01/2022;100573;1;500010;Belo Horizonte
05/01/2022;100574;3;500015;Porto Alegre
05/01/2022;100575;10;500014;São Paulo
05/01/2022;100576;10;500012;Belo Horizonte
05/01/2022;100577;10;500002;Belo Horizonte
05/01/2022;100578;4;500009;Belo Horizonte
05/01/2022;100579;10;500014;São Paulo
05/01/2022;100580;6;500011;Porto Alegre
05/01/2022;100581;2;500005;Rio de Janeiro
05/01/2022;100582;1;500008;Rio de Janeiro
05/01/2022;100583;3;500004;Porto Alegre
05/01/2022;100584;9;500013;Belo Horizonte
05/01/2022;100585;8;500006;Porto Alegre
05/01/2022;100586;5;500004;São Paulo
05/01/2022;100587;3;500007;São Paulo
05/01/2022;100588;4;500015;Porto Alegre
05/01/2022;100589;7;500007;São Paulo
05/01/2022;100590;1;500015;São Paulo
05/01/2022;100591;8;500012;Belo Horizonte
05/01/2022;100592;3;500001;São Paulo
05/01/2022;100593;3;500008;Rio de Janeiro
05/01/2022;100594;2;500005;Belo Horizonte
05/01/2022;100595;2;500005;Porto Alegre
05/01/2022;100596;7;500004;Porto Alegre
05/01/2022;100597;3;500013;Belo Horizonte
05/01/2022;100598;2;500007;Belo Horizonte
05/01/2022;100599;2;500013;São Paulo
05/01/2022;100600;5;500004;São Paulo
05/01/2022;100601;6;500013;Rio de Janeiro
05/01/2022;100602;2;500009;Rio de Janeiro
05/01/2022;100603;2;500009;Rio de Janeiro
05/01/2022;100604;5;500011;São Paulo
05/01/2022;100605;1;500004;Porto Alegre
05/01/2022;100606;3;500014;Rio de Janeiro
05/01/2022;100607;1;500013;Rio de Janeiro
05/01/2022;100608;3;500010;Belo Horizonte
05/01/2022;100609;7;500015;Porto Alegre
05/01/2022;100610;7;500002;Rio de Janeiro
05/01/2022;100611;6;500011;Rio de Janeiro
05/01/2022;100612;4;500015;Porto Alegre
05/01/2022;100613;2;500014;São Paulo
05/01/2022;100614;8;500002;Porto Alegre
